host,time,readable_time,Abs-Humidity-ACT,Abs-Humidity-MAX,Abs-Humidity-MIN,Abs-Humidity-SET,Fan-Circ-ACT,Fan-Circ-MAX,Fan-Circ-MIN,Fan-Circ-SET,Fan-Exhaust-ACT,Fan-Exhaust-MAX,Fan-Exhaust-MIN,Fan-Exhaust-SET,Pressure-ACT,Pressure-MAX,Pressure-MIN,Pressure-SET,Rel-Humidity-ACT,Rel-Humidity-MAX,Rel-Humidity-MIN,Rel-Humidity-SET,STATUS,Temperature-ACT,Temperature-MAX,Temperature-MIN,Temperature-SET
,1584430773000,2020-03-17T15:39:33Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.34,85,-45,25
,1584430788000,2020-03-17T15:39:48Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.35,85,-45,25
,1584430793000,2020-03-17T15:39:53Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.370001,85,-45,25
,1584430799000,2020-03-17T15:39:59Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.41,85,-45,25
,1584430804000,2020-03-17T15:40:04Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.389999,85,-45,25
,1584430809000,2020-03-17T15:40:09Z,4.110843,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.41,85,-45,25
,1584430819000,2020-03-17T15:40:19Z,4.05591,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.43,85,-45,25
,1584430824000,2020-03-17T15:40:24Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.42,85,-45,25
,1584430835000,2020-03-17T15:40:35Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.43,85,-45,25
,1584430840000,2020-03-17T15:40:40Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.440001,85,-45,25
,1584430845000,2020-03-17T15:40:45Z,4.110843,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.440001,85,-45,25
,1584430850000,2020-03-17T15:40:50Z,4.110843,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.48,85,-45,25
,1584430855000,2020-03-17T15:40:55Z,4.110843,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.459999,85,-45,25
,1584430860000,2020-03-17T15:41:00Z,4.110843,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.48,85,-45,25
,1584430865000,2020-03-17T15:41:05Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.48,85,-45,25
,1584430876000,2020-03-17T15:41:16Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.5,85,-45,25
,1584430881000,2020-03-17T15:41:21Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.51,85,-45,25
,1584430891000,2020-03-17T15:41:31Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.530001,85,-45,25
,1584430901000,2020-03-17T15:41:41Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.51,85,-45,25
,1584430907000,2020-03-17T15:41:47Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.5,85,-45,25
,1584430912000,2020-03-17T15:41:52Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.51,85,-45,25
,1584430922000,2020-03-17T15:42:02Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.48,85,-45,25
,1584430927000,2020-03-17T15:42:07Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.5,85,-45,25
,1584430932000,2020-03-17T15:42:12Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.48,85,-45,25
,1584430942000,2020-03-17T15:42:22Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.459999,85,-45,25
,1584430948000,2020-03-17T15:42:28Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.48,85,-45,25
,1584430953000,2020-03-17T15:42:33Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.5,85,-45,25
,1584430963000,2020-03-17T15:42:43Z,4.110843,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.5,85,-45,25
,1584430968000,2020-03-17T15:42:48Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.51,85,-45,25
,1584430973000,2020-03-17T15:42:53Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.549999,85,-45,25
,1584430984000,2020-03-17T15:43:04Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.57,85,-45,25
,1584430994000,2020-03-17T15:43:14Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.58,85,-45,25
,1584430999000,2020-03-17T15:43:19Z,4.110843,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.58,85,-45,25
,1584431004000,2020-03-17T15:43:24Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.6,85,-45,25
,1584431009000,2020-03-17T15:43:29Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.620001,85,-45,25
,1584431014000,2020-03-17T15:43:34Z,4.110843,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.620001,85,-45,25
,1584431025000,2020-03-17T15:43:45Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.620001,85,-45,25
,1584431035000,2020-03-17T15:43:55Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.66,85,-45,25
,1584431040000,2020-03-17T15:44:00Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.67,85,-45,25
,1584431045000,2020-03-17T15:44:05Z,4.110843,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.66,85,-45,25
,1584431050000,2020-03-17T15:44:10Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.67,85,-45,25
,1584431055000,2020-03-17T15:44:15Z,4.110843,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.66,85,-45,25
,1584431061000,2020-03-17T15:44:21Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.66,85,-45,25
,1584431066000,2020-03-17T15:44:26Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.67,85,-45,25
,1584431071000,2020-03-17T15:44:31Z,4.110843,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.67,85,-45,25
,1584431081000,2020-03-17T15:44:41Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.690001,85,-45,25
,1584431086000,2020-03-17T15:44:46Z,4.110843,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.709999,85,-45,25
,1584431091000,2020-03-17T15:44:51Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.709999,85,-45,25
,1584431097000,2020-03-17T15:44:57Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.719999,85,-45,25
